a;2e-3
a;2e-3
a;2e-3
a;5e-3
a;0.01
s;2e-3
s;2e-3
a;2e-3
a;>10
a;10
a;10
a;1
a;0.5
s;5e-3
a;2e-3
djl;2e-3
a;2e-3
s;5e-3
s;>10
a;5e-3
a;5e-3
a;0.01
a;2e-3
s;5e-3
s;0.01
a;2e-3
a;<1e-3  
a;<1e-3  
a;2e-3
a;5e-3
a;0.05
a;0.02
a;0.25
a;0.2
a;0.5
djl;0.05
djl;0.1
djl;0.2
djl;0.2
djl;2
a;2e-3
a;2e-3
a;2e-3
a;5e-3
a;0.01
a;0.02
a;0.05
dsff;5
dsff;2e-3
dsff;2e-3
dsff;0.5
a;>10
asd;2e-3
f;2e-3
f;5e-3
f;0.01
f;0.02
f;<1e-3  
f;<1e-3  
f;<1e-3  
f;<1e-3  
f;<1e-3  
asd;0.1
f;0.25
f;0.25
f;0.25
f;0.2
f;0.2
f;0.2
f;0.2
f;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;0.2
asd;2e-3
asd;5e-3
asd;0.01
asd;2e-3
asd;2e-3
asd;5e-3
asd;2e-3
asd;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
analsita;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;5e-3
a;2e-3
a;0.01
a;0.02
a;2e-3
a;5e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;5e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;0.05
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;2e-3
a;5e-3
a;5e-3
a;5e-3
a;5e-3
a1;2e-3
a1;2e-3
a1;2e-3
a;2e-3
a;5e-3
a;0.01
a;0.02
a;2e-3
a;5e-3
a;2e-3
a;2e-3
a;5e-3
a;5e-3
a;5e-3
a;2e-3
a;2e-3
a;5e-3
a;2e-3
s;5e-3
s;5e-3
s;5e-3
